AREA_ACRES,AREA_SQKM,STATES,HUC_10,HU_10_NAME,HU_10_MOD,HU_10_TYPE,VERTICES,Shape_Length,Shape_Area
114478.023,463.793002,CO,1102001105,Wild Horse Creek,NM,S,80,1.22425267,0.048181618
145232.191,589.1588801,CO,1102001203,North Rush Creek-Rush Creek,NM,S,117,1.765846121,0.061298839
178390.57,721.6899654,CO,1102001206,Lower Rush Creek,NM,S,124,1.706700483,0.074594196
137816.307,557.4779382,CO,1102001304,Lower Two Butte Creek,NM,S,113,1.906015137,0.056993578
248440.869,1005.614282,"CO,NM,OK",1104000202,Black Mesa State Park-Cimarron River,NM,S,113,1.69456475,0.101728479
152753.222,618.8091722,"CO,UT",1406000103,Garden Creek-Green River,OT,S,81,1.329160318,0.065724023
160173.274,646.6405802,CO,1401000106,Troublesome Creek-Colorado River,NM,S,108,1.486702552,0.068381061
78914.878,319.4317699,CO,1401000201,Upper Blue River,NM,S,65,0.942131859,0.033434998
67161.577,272.8108226,CO,1401000408,Middle Roaring Fork River,NM,S,68,0.941290648,0.028510151
40521.482,162.8391288,CO,1401000504,Mamm Creek,NM,S,42,0.661269389,0.017031879
250590.967,1016.283343,CO,1402000305,Cochetopa Creek,NM,S,132,1.926911882,0.104519093
58170.513,234.4203073,CO,1408010101,East Fork San Juan River,NM,S,54,0.723664795,0.023851531
107381.592,433.769567,CO,1408010103,Rio Blanco,NM,S,78,1.163323132,0.044032263
67841.233,274.5605611,"CO,NM",1408010108,San Juan River-Navajo Reservoir,RS,S,82,1.065152505,0.027791395
128064.563,518.3342971,"CO,NM",1408010116,Navajo Reservoir,"DM,RS",S,133,1.895068248,0.052407106
102853.432,415.4877862,"CO,UT",1403000108,Westwater Creek-Colorado River,ID,S,135,1.910364738,0.043199772
108177.324,436.9303536,CO,1403000201,West Dolores River,NM,S,85,1.325220777,0.044672389
125814.535,510.560295,CO,1403000203,McPhee Reservoir-Dolores River,"RS,PS,LE,MA",S,84,1.276944751,0.052031353
72165.051,291.2753287,"CO,UT",1403000209,La Sal Creek,NM,S,47,0.871050671,0.030022865
68004.276,274.6985455,CO,1408010205,Lower Piedra River,NM,S,55,0.86902172,0.027866609
60935.252,245.5041044,CO,1408010403,Animas River Canyon,NM,S,67,0.889510534,0.0250718
100705.041,408.1747665,"CO,NM",1408010502,McDermott Arroyo-La Plata River,NM,S,59,1.026961187,0.041331295
104650.083,423.891303,CO,1403000210,Gypsum Valley-Dolores River,NM,S,78,1.324974369,0.043578101
65538.582,264.7410892,CO,1403000401,Mesa Creek,GC,S,60,0.839889142,0.027342241
57287.162,230.4432647,"CO,UT",1403000402,Roc Creek,"ID,OT",S,57,1.007434665,0.023790997
209214.874,847.6138612,"CO,NM",1408010703,Lower Mancos River,NM,S,96,1.586059073,0.085896519
97700.227,395.781456,"CO,UT,WY",1404010608,Red Creek,NM,S,76,1.04766841,0.042376348
195904.273,792.8509241,"CO,UT,WY",1404010609,Crouse Creek-Green River,OT,S,128,1.795214832,0.084649871
172139.533,699.6100951,CO,1405000111,Dry Creek-Yampa River,RS,S,150,1.939738097,0.074297147
142748.21,578.7835981,CO,1405000201,Milk Creek,NM,S,91,1.290755055,0.061249137
225626.821,913.0986668,WY,1405000304,Savery Creek,IT,S,99,1.551424396,0.09805089
119335.272,484.0042372,"CO,WY",1405000305,Fourmile Creek,IT,S,74,1.210885425,0.051699011
235225.678,952.9294041,CO,1405000503,Coal Creek-White River,NM,S,150,1.841931485,0.100473981
